label,status,hit,latency_ms,expected_id,top5_ids,top5_names,used_payload_json
인천 강화군 양도면 조산리 754 6 13600000만원,200,1,69.7,3307,[3307],['테스트2'],"{""totalAmount"": 13600000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [6], ""address"": {""sidoName"": ""인천"", ""gunName"": ""강화군"", ""dongName"": ""양도면""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 의정부시 가금로 29 18 24600000만원,200,1,62.6,3306,[3306],['테스트1'],"{""totalAmount"": 24600000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [18], ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": ""가금로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 의정부시 가금로 29 61 1221120000만원,200,1,61.1,3305,"[3305, 1555, 1286]","['구간 데이터 테스트', '허슬러', '벤츠노래방']","{""totalAmount"": 1221120000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [61], ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": ""가금로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
제주특별자치도 제주시 가령골길 1 15 11000000만원,200,1,64.5,3304,[3304],['제주 테스트'],"{""totalAmount"": 11000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [15], ""address"": {""sidoName"": ""제주특별자치도"", ""gunName"": ""제주시"", ""dongName"": ""가령골길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 가람길 46 63 200000만원,200,1,97.4,3303,"[3303, 3301, 3294, 3293, 3291]","['채팅 테스트', '크레딧노트 테스트 매장', 'test', 'ㅅㄷㄴㅅ', 'testtest']","{""totalAmount"": 200000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""가람길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 도봉구 덕릉로 214 28 4900000만원,200,0,64.0,3302,[],[],"{""totalAmount"": 4900000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [28], ""address"": {""sidoName"": ""서울"", ""gunName"": ""도봉구"", ""dongName"": ""덕릉로""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""NON_PREMIUM"", ""AUTO_OPERATE"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 고산자로 71 63 11000000만원,200,1,86.0,3301,"[3303, 3301, 3294, 3293, 3291]","['채팅 테스트', '크레딧노트 테스트 매장', 'test', 'ㅅㄷㄴㅅ', 'testtest']","{""totalAmount"": 11000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""고산자로""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 광진구 강변역로 2 42 1220000만원,200,0,73.9,3300,"[3030, 2894, 398, 2893, 703]","['로에케이크', '플레어에스프레소바', '백원바이크쓩 - 서울건대점', '플레어에스프레소바', '유캔두잇 구의강변점']","{""totalAmount"": 1220000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""서울"", ""gunName"": ""광진구"", ""dongName"": ""강변역로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 시흥시 은계로338번길 38 57 30000000만원,200,0,100.8,3299,"[2537, 816, 1322, 2690, 2576]","['월하 시흥점', '위너원스터디카페', '위너원스터디카페', 'KBS당구클럽', '포어스사진관']","{""totalAmount"": 30000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [57], ""address"": {""sidoName"": ""경기"", ""gunName"": ""시흥시"", ""dongName"": ""은계로338번길""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 성수일로 1 42 200000만원,200,0,107.9,3298,"[3303, 3301, 3294, 3293, 3292]","['채팅 테스트', '크레딧노트 테스트 매장', 'test', 'ㅅㄷㄴㅅ', 'testt']","{""totalAmount"": 200000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""성수일로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 가람길 46 63 200000만원,200,0,103.4,3297,"[3303, 3301, 3294, 3293, 3292]","['채팅 테스트', '크레딧노트 테스트 매장', 'test', 'ㅅㄷㄴㅅ', 'testt']","{""totalAmount"": 200000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""가람길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 연무장5가길 7 63 52000000만원,200,1,67.7,3296,"[3296, 2437, 1970, 1969, 1534]","['이디야커피', '칠칠켄터키', '더하노이풋앤바디', '더하노이풋앤바디', '더하노이풋앤바디']","{""totalAmount"": 52000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [63], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""연무장5가길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 화성시 능동 1156-8 61 200000만원,200,0,73.7,3295,"[1697, 2567, 1489, 1410, 1857]","['벨루아', '돈발', 'ㅇ', '아워풀데이남양점', '스터디카페 드리밍']","{""totalAmount"": 200000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [61], ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""능동""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 가람길 46 18 2400000만원,200,1,94.2,3294,"[3294, 3293, 3291, 3290, 3289]","['test', 'ㅅㄷㄴㅅ', 'testtest', 'ㅅㄷㄴㅅ', 'test']","{""totalAmount"": 2400000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [18], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""가람길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 강변북로 257 61 2400000만원,200,1,86.9,3293,"[3294, 3293, 3291, 3290, 3289]","['test', 'ㅅㄷㄴㅅ', 'testtest', 'ㅅㄷㄴㅅ', 'test']","{""totalAmount"": 2400000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [61], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""강변북로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 성수일로 1 23 1400000만원,200,0,97.0,3292,"[3303, 3301, 3294, 3293, 3291]","['채팅 테스트', '크레딧노트 테스트 매장', 'test', 'ㅅㄷㄴㅅ', 'testtest']","{""totalAmount"": 1400000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [23], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""성수일로""}, ""exclusiveArea"": ""OVER_20"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 성동구 강변북로 257 23 2400000만원,200,1,90.2,3291,"[3294, 3293, 3291, 3290, 3289]","['test', 'ㅅㄷㄴㅅ', 'testtest', 'ㅅㄷㄴㅅ', 'test']","{""totalAmount"": 2400000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [23], ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": ""강변북로""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
