label,status,hit,latency_ms,expected_id,top5_ids,top5_names,used_payload_json
"광주 북구 양산택지로 nan 1~3억 20평 이상 직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장",200,1,73.8,69,"[1465, 696, 2123, 69]","['피크닉스', '브라더뒷고기', '멜팅버터', '브라운 카페']","{""totalAmount"": 14000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""광주"", ""gunName"": ""북구"", ""dongName"": ""양산택지로""}, ""addressLabel"": ""광주 북구 양산택지로"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""20평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장"", ""categoryLabel"": ""nan""}"
"부산 기장군 기장읍 의류/패션 3억 이상 40평 이상 직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장",200,1,78.5,100,"[2484, 936, 1459, 100, 1731]","['탑플러스마트', '정겨운집', '가배차 일광점', '인생교복 동부산 롯데월드점', '포헤(Foret)']","{""totalAmount"": 53000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""부산"", ""gunName"": ""기장군"", ""dongName"": ""기장읍""}, ""addressLabel"": ""부산 기장군 기장읍"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""40평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장"", ""categoryLabel"": ""의류/패션""}"
"광주 남구 봉선동 기타서비스 1억 이하 10평 이상 직원 승계 가능매장, 양도 즉시가능 매장",200,1,78.9,106,[106],['포도당'],"{""totalAmount"": 6000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""광주"", ""gunName"": ""남구"", ""dongName"": ""봉선동""}, ""addressLabel"": ""광주 남구 봉선동"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""10평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 양도 즉시가능 매장"", ""categoryLabel"": ""기타서비스""}"
"경남 김해시 경원로73번길 치킨 1억 이하 10평 이상 직원 승계 가능매장, 양도 즉시가능 매장",200,1,74.6,107,"[1473, 645, 107, 229, 233]","['카레클린트 김해점', '치킨신드롬', '바사삭 치킨강정 ', '댕포유', '샌드쿠킹']","{""totalAmount"": 8000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""경남"", ""gunName"": ""김해시"", ""dongName"": ""경원로73번길""}, ""addressLabel"": ""경남 김해시 경원로73번길"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""10평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 양도 즉시가능 매장"", ""categoryLabel"": ""치킨""}"
"인천 미추홀구 한식 1억 이하 10평 미만 직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장",200,1,61.0,125,"[1219, 938, 125, 452]","['제이엠푸드', '맛있는찬', '꼬기어때', '혁이푸드']","{""totalAmount"": 1600, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""인천"", ""gunName"": ""미추홀구"", ""dongName"": """"}, ""addressLabel"": ""인천 미추홀구"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""10평 미만"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장"", ""categoryLabel"": ""한식""}"
"부산 중구 신창동1가 의류/패션 1~3억 20평 이상 직원 승계 가능매장, 영업기간 1년 이상",200,1,82.7,126,"[316, 126, 2034]","['비비큐', '부산 남포동 의류매장 1년 순수익 1.5억이상 ', '카페 새벽']","{""totalAmount"": 25000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""부산"", ""gunName"": ""중구"", ""dongName"": ""신창동1가""}, ""addressLabel"": ""부산 중구 신창동1가"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""20평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상"", ""categoryLabel"": ""의류/패션""}"
"부산 부산진구 중앙대로 스포츠 1~3억 40평 이상 직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장",200,1,78.9,127,"[885, 1359, 1303, 1749, 127]","['오하이', '더스타일바이스타일', '태랑', '제이제이푸드', '마이코치짐 ']","{""totalAmount"": 13000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""부산"", ""gunName"": ""부산진구"", ""dongName"": ""중앙대로""}, ""addressLabel"": ""부산 부산진구 중앙대로"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""40평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장"", ""categoryLabel"": ""스포츠""}"
"인천 계양구 계산천동로 종합소매점 1억 이하 10평 이상 직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장",200,1,78.1,134,"[1926, 134, 502]","['스튜디오 말론', 'liebe 리베', '바로덮밥&바로파스타 인천계양점']","{""totalAmount"": 6000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""인천"", ""gunName"": ""계양구"", ""dongName"": ""계산천동로""}, ""addressLabel"": ""인천 계양구 계산천동로"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""10평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 영업기간 1년 이상, 양도 즉시가능 매장"", ""categoryLabel"": ""종합소매점""}"
광주 동구 의재로136번길 커피 1~3억 30평 이상 직원 승계 가능매장,200,1,78.5,137,"[1507, 2145, 137, 159]","['버턴커피', '자담치킨', '카페킹콩', '베어베이프']","{""totalAmount"": 21000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""광주"", ""gunName"": ""동구"", ""dongName"": ""의재로136번길""}, ""addressLabel"": ""광주 동구 의재로136번길"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""30평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장"", ""categoryLabel"": ""커피""}"
"광주 동구 지산동 기타서비스 1억 이하 10평 이상 직원 승계 가능매장, 양도 즉시가능 매장",200,1,76.8,159,"[2145, 159]","['자담치킨', '베어베이프']","{""totalAmount"": 8000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [0], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""광주"", ""gunName"": ""동구"", ""dongName"": ""지산동""}, ""addressLabel"": ""광주 동구 지산동"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""10평 이상"", ""option"": [], ""optionLabel"": ""직원 승계 가능매장, 양도 즉시가능 매장"", ""categoryLabel"": ""기타서비스""}"
