sale_franchise_id,address,sub_category_id,takeover_amount,monthly_avg_sales,exclusive_area,is_franchise,is_non_premium,operation_period,worker_cnt,parking_cnt,is_employee_takeover,store_type,sales_time_type,premium,deposit,is_premium_payment,expected_id,sido_name,gun_name,dong_name
3307,인천 강화군 양도면 조산리 754,6,13600000,12300000,760.334,0,0,130,0,0,1,1,0,12300000,1300000,0,3307,인천,강화군,양도면
3306,경기 의정부시 가금로 29,18,24600000,12300000,396.696,0,0,120,0,0,1,1,0,12300000,12300000,0,3306,경기,의정부시,가금로
3305,경기 의정부시 가금로 29,61,1221120000,1200000,396.696,0,0,110,0,0,1,1,0,1110110000,111010000,0,3305,경기,의정부시,가금로
3304,제주특별자치도 제주시 가령골길 1,15,11000000,21320000,165.29,0,0,20,0,0,0,1,0,10000000,1000000,1,3304,제주특별자치도,제주시,가령골길
3303,서울 성동구 가람길 46,63,200000,100000,99.174,0,0,10,0,0,0,1,0,100000,100000,0,3303,서울,성동구,가람길
3302,서울 도봉구 덕릉로 214,28,4900000,100000,66.116,0,1,10,0,0,1,1,0,0,4900000,0,3302,서울,도봉구,덕릉로
3301,서울 성동구 고산자로 71,63,11000000,5000000,99.174,0,0,12,1,1,0,1,0,1000000,10000000,1,3301,서울,성동구,고산자로
3300,서울 광진구 강변역로 2,42,1220000,100000,33.058,0,0,12,0,0,0,1,0,1100000,120000,0,3300,서울,광진구,강변역로
3299,경기 시흥시 은계로338번길 38,57,30000000,4000000,66.0,0,0,16,1,1,0,1,0,10000000,20000000,1,3299,경기,시흥시,은계로338번길
3298,서울 성동구 성수일로 1,42,200000,1200000,33.058,0,0,10,0,0,0,1,0,100000,100000,0,3298,서울,성동구,성수일로
3297,서울 성동구 가람길 46,63,200000,1200000,33.058,0,0,10,0,0,0,1,0,100000,100000,0,3297,서울,성동구,가람길
3296,서울 성동구 연무장5가길 7,63,52000000,30000000,99.174,1,0,10,1,0,0,1,0,2000000,50000000,0,3296,서울,성동구,연무장5가길
3295,경기 화성시 능동 1156-8,61,200000,100000,33.058,0,0,10,0,0,0,1,0,100000,100000,0,3295,경기,화성시,능동
3294,서울 성동구 가람길 46,18,2400000,1200000,396.696,0,0,120,0,0,0,1,0,1200000,1200000,0,3294,서울,성동구,가람길
