상품상태,카테고리ID,상품명,판매가,재고수량,대표 이미지 파일명,상품 상세정보,판매자 상품코드,제조사,브랜드,부가세,원산지 직접입력,배송방법,배송비 유형,기본배송비,배송비 결제방식,반품배송비,교환배송비,지역별 차등배송비 정보,옵션형태,대카테고리,중카테고리,소카테고리
신상품,58470221,양도양수 믹서 프리미엄 2583,4666748,57,4448311560_XVuqrsFOTV_1756948883_img68.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH9613923,삼성,삼성,과세상품,중국,직배송,유료,5000,착불 또는 선결제,15000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,양도양수,믹서
중고상품,51225353,그릴 프리미엄 1563,4234129,904,7683537932_CIDimYitZy_1756948883_img54.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH2965800,LG,LG,과세상품,독일,화물배송,무료,3000,선결제,3000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,그릴
렌탈상품,51915923,렌탈 냉장고 스탠다드 9427,4259772,183,2253284501_lGbnczinRn_1756948883_img55.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH9302756,보쉬,보쉬,과세상품,대한민국,렌탈배송,수량별,15000,착불 또는 선결제,0,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,상업용기기,냉장고
중고상품,54984656,커피머신 스탠다드 5021,1854322,197,8019574120_KjHRtIaIQy_1756948883_img61.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH5378128,보쉬,보쉬,과세상품,대한민국,화물배송,유료,3000,착불 또는 선결제,15000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,커피머신
신상품,56988113,양도양수 제빙기 프리미엄 4558,3461335,739,9921521683_GUTPkHVWGU_1756948883_img16.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH9993539,브레빌,브레빌,과세상품,이탈리아,직배송,유료,10000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,제빙기
신상품,51501027,양도양수 식기세척기 프리미엄 7333,2164170,693,6249750546_yPJIdXKxDz_1756948883_img81.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH1537140,LG,LG,과세상품,일본,화물배송,유료,3000,착불 또는 선결제,5000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,식기세척기
렌탈상품,50927058,렌탈 오븐 프리미엄 2774,533427,524,2769349928_xkZFbVqwJe_1756948883_img68.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 오븐, 220V, 소비전력 3.5kW, 크기 1200x800x600mm</div>",CH7687329,델롱기,델롱기,과세상품,일본,직배송,무료,0,선결제,0,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,오븐
중고상품,58370720,토스터 스탠다드 2727,2320117,337,8397742451_KvoyEvtPeS_1756948883_img20.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH2072612,LG,LG,과세상품,미국,"택배, 소포, 등기",수량별,15000,착불 또는 선결제,3000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,토스터
신상품,50435222,냉장고 스탠다드 3759,4026403,593,8853649937_KnIjwZjxsP_1756948883_img90.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH6691097,LG,LG,과세상품,일본,직배송,유료,15000,착불 또는 선결제,5000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,냉장고
신상품,53633108,양도양수 그릴 스탠다드 4700,4064503,703,8143020051_qcJqGUKXlK_1756948883_img23.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH8478267,보쉬,보쉬,과세상품,대한민국,"택배, 소포, 등기",수량별,15000,착불 또는 선결제,0,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,상업용기기,그릴
