회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M001,25,F,광주 북구,0-1년,평일 오전,친절한 지도,그룹,주 1회,3승 0패,취미 유지,시설 완비,매일,10만 원 미만
M002,28,M,서울 서초구,1-3년,주말 저녁,동기부여 중심,1:1,월 2-3회,,대회 준비,야외 코트,미사용,10-30만 원
M003,25,F,경기 용인시,5년 이상,평일 저녁,엄격한 피드백,그룹,주 1회,,취미 유지,실내 코트,미사용,30만 원 이상
M004,44,F,서울 송파구,1-3년,평일 오후,친절한 지도,그룹,주 2회,,실력 향상,미입력,주 1회 미만,10만 원 미만
M005,36,M,서울 송파구,3-5년,주말 저녁,친절한 지도,그룹,주 2회,,체력 증진,시설 완비,미사용,10만 원 미만
M006,41,M,인천 연수구,1-3년,주말 저녁,친절한 지도,온라인,주 1회,1승 2패,대회 준비,시설 완비,매일,30만 원 이상
M007,39,F,대구 달서구,1-3년,주말 오전,엄격한 피드백,1:1,월 1회 미만,1승 2패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M008,38,M,경기 용인시,0-1년,평일 오후,친절한 지도,1:1,주 1회,2승 0패,취미 유지,야외 코트,매일,30만 원 이상
M009,40,M,서울 마포구,0-1년,평일 오후,친절한 지도,1:1,주 2회,3승 0패,대회 준비,야외 코트,미사용,10만 원 미만
M010,37,F,인천 남동구,5년 이상,평일 저녁,친절한 지도,1:1,주 2회,,대회 준비,미입력,주 1회 미만,30만 원 이상
M011,32,F,대전 유성구,5년 이상,평일 저녁,엄격한 피드백,그룹,주 2회,,체력 증진,야외 코트,미사용,10-30만 원
M012,48,M,부산 해운대구,5년 이상,주말 오전,친절한 지도,그룹,월 2-3회,2승 0패,취미 유지,시설 완비,주 1-2회,10만 원 미만
M013,45,F,서울 영등포구,0-1년,주말 오전,미입력,그룹,월 2-3회,,취미 유지,실내 코트,주 1회 미만,30만 원 이상
M014,47,F,대구 수성구,3-5년,주말 오전,친절한 지도,1:1,주 1회,1승 3패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M015,28,F,서울 마포구,1-3년,평일 오전,동기부여 중심,그룹,주 2회,,실력 향상,미입력,주 1-2회,10-30만 원
M016,22,M,서울 송파구,5년 이상,주말 저녁,미입력,1:1,주 2회,3승 3패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M017,36,M,광주 북구,0-1년,평일 저녁,엄격한 피드백,온라인,월 2-3회,0승 2패,취미 유지,시설 완비,매일,10-30만 원
M018,46,F,부산 해운대구,1-3년,주말 오전,친절한 지도,그룹,월 2-3회,2승 1패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M019,34,M,광주 광산구,5년 이상,평일 저녁,미입력,1:1,주 2회,2승 3패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M020,44,F,대구 수성구,3-5년,평일 오후,엄격한 피드백,온라인,월 2-3회,,대회 준비,접근성,매일,10만 원 미만
M021,45,M,서울 영등포구,1-3년,평일 오후,엄격한 피드백,그룹,월 1회 미만,2승 3패,대회 준비,실내 코트,매일,30만 원 이상
M022,50,M,제주 서귀포시,5년 이상,평일 오전,친절한 지도,1:1,월 1회 미만,1승 0패,대회 준비,야외 코트,미사용,10-30만 원
M023,30,M,서울 마포구,0-1년,평일 오전,친절한 지도,온라인,월 2-3회,,대회 준비,접근성,매일,10만 원 미만
M024,39,M,서울 마포구,0-1년,평일 저녁,미입력,온라인,주 2회,1승 1패,취미 유지,미입력,주 1-2회,10-30만 원
M025,24,F,대구 달서구,5년 이상,평일 오후,미입력,온라인,주 1회,1승 3패,취미 유지,접근성,미사용,10만 원 미만
M026,40,M,대전 유성구,5년 이상,주말 저녁,엄격한 피드백,1:1,월 2-3회,3승 3패,취미 유지,접근성,매일,10만 원 미만
M027,28,M,서울 마포구,3-5년,주말 오전,동기부여 중심,온라인,월 2-3회,0승 0패,실력 향상,접근성,매일,30만 원 이상
