label,status,hit,latency_ms,expected_id,source,top5_ids,top5_names,used_payload_json
경기 의정부시 오목로225번길 15-6 35 120000000만원,200,1,72.1,1231,hit,[1231],['밀회관'],"{""totalAmount"": 120000000, ""monthlyAvgSales"": ""RANGE_10M_20M"", ""mainCategoryId"": [], ""subCategoryId"": [35], ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": ""오목로225번길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 남양주  15 135000000만원,200,1,70.7,905,hit,"[1532, 905, 2283, 2808]","['비허밍스터디카페', '길동우동', '이디야커피', '소낙스서비스']","{""totalAmount"": 135000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [15], ""address"": {""sidoName"": ""경기"", ""gunName"": ""남양주"", ""dongName"": """"}, ""exclusiveArea"": ""OVER_20"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
대구 서구 달서로 144-8 42 9000000만원,200,1,76.6,509,hit,"[1850, 585, 509, 2935, 2933]","['미정', '어푸어푸키즈풀', '서부야시장', '프린스턴 학원', '프린스턴 학원']","{""totalAmount"": 9000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""대구"", ""gunName"": ""서구"", ""dongName"": ""달서로""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 부산진구 중앙대로680번가길 35 100000000만원,200,1,52.8,885,hit,[885],['오하이'],"{""totalAmount"": 100000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [35], ""address"": {""sidoName"": ""부산"", ""gunName"": ""부산진구"", ""dongName"": ""중앙대로680번가길""}, ""exclusiveArea"": ""OVER_30"", ""option"": [""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
부산 사상구 사상로 135 37 35000000만원,200,1,67.5,1613,hit,"[1613, 1612, 551]","['호식이두마리치킨', '호식이두마리치킨', '청년피자']","{""totalAmount"": 35000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [37], ""address"": {""sidoName"": ""부산"", ""gunName"": ""사상구"", ""dongName"": ""사상로""}, ""exclusiveArea"": ""ANY"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
경기 고양시 덕양구 통일로 345 30 35000000만원,200,0,69.3,2214,nonhit,"[2416, 2597, 2378, 2295, 2218]","['비라티오커피&캘리포니아도넛', '돈가방돈가스 ', '돼지불백 시골집', '시골집', '스시드래곤']","{""totalAmount"": 35000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [30], ""address"": {""sidoName"": ""경기"", ""gunName"": ""고양시"", ""dongName"": ""덕양구""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""EMPLOYEE_TAKEOVER"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
서울 구로구 구로동로40길 16 70000000만원,200,1,72.0,2646,hit,"[2631, 2960, 2647, 2646]","['린츄', '반하다', '워시팡팡 셀프빨래방', '워시팡팡 셀프빨래방']","{""totalAmount"": 70000000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [16], ""address"": {""sidoName"": ""서울"", ""gunName"": ""구로구"", ""dongName"": ""구로동로40길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""AUTO_OPERATE"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
대구 달서구 당산로45길 130 61 8500000만원,200,1,70.8,2935,hit,"[2935, 2933]","['프린스턴 학원', '프린스턴 학원']","{""totalAmount"": 8500000, ""monthlyAvgSales"": ""RANGE_0_10M"", ""mainCategoryId"": [], ""subCategoryId"": [61], ""address"": {""sidoName"": ""대구"", ""gunName"": ""달서구"", ""dongName"": ""당산로45길""}, ""exclusiveArea"": ""OVER_40"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 화성시 동탄대로6길 27 35 130000000만원,200,1,59.5,1056,hit,"[2618, 1056, 1954, 2305, 2304]","['신사우 물갈비', '강군닭발 동탄호수점', '창화당 동탄점', '블리스', '블리스']","{""totalAmount"": 130000000, ""monthlyAvgSales"": ""RANGE_30M_50M"", ""mainCategoryId"": [], ""subCategoryId"": [35], ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""동탄대로6길""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 0, ""salesTimeType"": 0}"
경기 화성시 우정읍 조암동로10번길 13 42 130000000만원,200,1,70.6,999,hit,"[2107, 601, 999, 50, 321]","['맛깔참죽', '삐사감김밥', '본죽&비빔밥cafe', '아메리칸트레이', '이마트24(emart24)']","{""totalAmount"": 130000000, ""monthlyAvgSales"": ""RANGE_20M_30M"", ""mainCategoryId"": [], ""subCategoryId"": [42], ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""우정읍""}, ""exclusiveArea"": ""OVER_10"", ""option"": [""OPERATION_PERIOD"", ""PARKING"", ""SALE_TIME_TYPE""], ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""isFranchise"": 1, ""salesTimeType"": 0}"
