iter,e2e_ms
1,1081
2,0
3,1048
4,0
5,1038
6,0
7,1047
8,0
9,1046
10,0
11,1053
12,0
13,1038
14,0
15,1035
16,0
17,1043
18,0
19,1112
20,0
21,1109
22,0
23,1110
24,0
25,1106
26,0
27,1105
28,0
29,1092
30,0
31,1041
32,0
33,1040
34,0
35,1038
36,0
37,1041
38,0
39,1034
40,0
41,1032
42,0
43,1041
44,0
45,1043
46,0
47,1039
48,0
49,1109
50,0
51,1143
52,0
53,1084
54,0
55,1110
56,0
57,1100
58,0
59,1106
60,0
61,1121
62,0
63,1131
64,0
65,1111
66,0
67,1084
68,0
69,1108
70,0
71,1111
72,0
73,1113
74,0
75,1095
76,0
77,1106
78,0
79,1119
80,0
81,1104
82,0
83,1111
84,0
85,1092
86,0
87,1116
88,0
89,1123
90,0
91,1087
92,0
93,1037
94,0
95,1048
96,0
97,1038
98,0
99,1043
100,0
